scenario,policy,high_started,high_arrivals,high_started_over_arrivals,high_started_over_arrivals_disp,wait_km_p50_h,wait_km_p90_h,wait_km_p50_disp,wait_km_p90_disp,wait_max_bound_h,wait_max_bound_disp,overline_B95_days,util_mean,util_p95,eow_start_share_mean,eow_start_share_p95,t_end_h,high_censored,seed
S1_normal,FIFO,47,66,0.7121212121212122,47/66,197.19991380487545,420.1537895162221,197.2,420.2,433.2242639941758,433.2,6.882101395936754,0.9352830331426547,0.9836135220153909,0.08541666666666667,0.5,1344.0,19,42
S1_normal,SPT,65,66,0.9848484848484849,65/66,42.64903229970105,90.84393950590902,42.6,90.8,97.5771367097982,97.6,1.5510227221178077,0.8436612381891341,0.9614732908699026,0.0,0.0,1344.0,1,42
S1_normal,CVSS-only,54,66,0.8181818181818182,54/66,60.27158103734155,,60.3,$> 321.8$,871.6017994161884,$\ge 871.6$,12.349480479349934,0.9054144776331438,0.9942946917522125,0.03125,0.25,1344.0,12,42
S1_normal,R-risk-only,61,66,0.9242424242424242,61/66,55.1407139726837,314.82932543259756,55.1,314.8,746.668919982131,746.7,10.9741220722604,0.938631864428273,0.9946218562011997,0.051041666666666666,0.21250000000000002,1344.0,5,42
S1_normal,RD-only,65,66,0.9848484848484849,65/66,43.304582110742786,90.84393950590902,43.3,90.8,96.55033425968475,96.6,1.6433063134620582,0.862546546008645,0.9928636885728592,0.0,0.0,1344.0,1,42
S1_normal,RD+WGPS,65,66,0.9848484848484849,65/66,43.304582110742786,90.84393950590902,43.3,90.8,96.55033425968475,96.6,1.6433063134620582,0.8692595279870992,0.9513006675236304,0.0,0.0,1344.0,1,42
S2_kev_burst,FIFO,46,60,0.7666666666666667,46/60,257.2247248616126,378.2626756653957,257.2,378.3,433.35457626134416,433.4,8.330910738627123,0.9140466034656324,0.9936914557715649,0.07142857142857142,0.2708333333333333,1344.0,14,42
S2_kev_burst,SPT,54,60,0.9,54/60,44.815400709827514,76.48939787168865,44.8,76.5,162.2491851215666,162.2,1.7390520171518637,0.8246749872275124,0.9796403038756827,0.0,0.0,1344.0,6,42
S2_kev_burst,CVSS-only,45,60,0.75,45/60,72.28134945009873,674.3648877975136,72.3,674.4,1097.2491116293102,$\ge 1097.2$,16.390956277167888,0.9054635294389672,0.9909518260601718,0.07395833333333333,0.2708333333333333,1344.0,15,42
S2_kev_burst,R-risk-only,53,60,0.8833333333333333,53/60,48.01085198838439,132.1910778539915,48.0,132.2,385.3365931890047,$\ge 385.3$,5.221261412549278,0.9078984038774948,0.994654911735805,0.02291666666666667,0.175,1344.0,7,42
S2_kev_burst,RD-only,55,60,0.9166666666666666,55/60,44.48134113838296,75.86449446503116,44.5,75.9,94.73592266316018,94.7,1.2737850092204963,0.8426651637816047,0.984432579352846,0.0,0.0,1344.0,5,42
S2_kev_burst,RD+WGPS,55,60,0.9166666666666666,55/60,44.48134113838296,75.86449446503116,44.5,75.9,94.73592266316018,94.7,1.2737850092204963,0.8685573057680676,0.9947473410667748,0.0,0.0,1344.0,5,42
S3_lowcap_hetero,FIFO,12,56,0.21428571428571427,12/56,,,$> 891.7$,$> 891.7$,971.0216889422812,$\ge 971.0$,18.958172087416433,0.9147672277666778,0.9819692987230353,0.03125,0.16249999999999987,1344.0,44,42
S3_lowcap_hetero,SPT,35,56,0.625,35/56,132.84667620103443,,132.8,$> 200.4$,1147.8910553777728,$\ge 1147.9$,17.78877560319926,0.8778020281540586,0.9827146844766975,0.0,0.0,1344.0,21,42
S3_lowcap_hetero,CVSS-only,16,56,0.2857142857142857,16/56,,,$> 526.7$,$> 526.7$,1288.9724530706492,$\ge 1289.0$,25.000693569330142,0.9292058432320232,0.9758980904303896,0.07291666666666666,0.3041666666666666,1344.0,40,42
S3_lowcap_hetero,R-risk-only,20,56,0.35714285714285715,20/56,,,$> 515.6$,$> 515.6$,1229.5032100665978,$\ge 1229.5$,22.947154045212702,0.8291885998445623,0.95788093349767,0.03125,0.16249999999999987,1344.0,36,42
S3_lowcap_hetero,RD-only,38,56,0.6785714285714286,38/56,133.2357183073783,,133.2,$> 469.9$,1147.8910553777728,$\ge 1147.9$,18.66378639677774,0.9152280043740186,0.9799739978231501,0.0,0.0,1344.0,18,42
S3_lowcap_hetero,RD+WGPS,38,56,0.6785714285714286,38/56,133.2357183073783,,133.2,$> 469.9$,1147.8910553777728,$\ge 1147.9$,18.66378639677774,0.9152280043740186,0.9799739978231501,0.0,0.0,1344.0,18,42
