scenario,policy,seed_count,high_started_median,high_arrivals_median,high_start_rate_mean,high_start_rate_lo,high_start_rate_hi,high_start_rate_n,wait_km_p50_h_mean,wait_km_p50_h_lo,wait_km_p50_h_hi,wait_km_p50_h_n,wait_km_p90_h_mean,wait_km_p90_h_lo,wait_km_p90_h_hi,wait_km_p90_h_n,wait_max_bound_h_mean,wait_max_bound_h_lo,wait_max_bound_h_hi,wait_max_bound_h_n,overline_B95_days_mean,overline_B95_days_lo,overline_B95_days_hi,overline_B95_days_n,util_mean_mean,util_mean_lo,util_mean_hi,util_mean_n,eow_start_share_mean_mean,eow_start_share_mean_lo,eow_start_share_mean_hi,eow_start_share_mean_n
S1_normal,CVSS-only,30,17.0,19.0,0.8943387062427309,0.74375,1.0,30,57.61856687466512,35.187293705187486,92.2041513723842,30,184.9079386630992,77.59443217200997,410.75382241871,20,514.6058767088481,95.54170265557819,1121.419530944206,30,8.237102303827223,1.2896746700628103,20.86681392806776,30,0.8951957627090409,0.8046003972736416,0.9497626127002285,30,0.03068452380952381,0.008928571428571428,0.060338541666666655,30
S1_normal,FIFO,30,15.5,19.0,0.8138277865638547,0.5468253968253969,1.0,30,163.48223627693383,62.58241321675609,312.5777563437835,30,272.40859985677685,128.918096185804,443.72465395735867,27,304.8626437244082,135.36401325204724,463.2006107539269,30,5.277773881613144,2.2763480760418213,9.644803819983062,30,0.9038662693653513,0.8281013506250366,0.9570027603691356,30,0.0510515873015873,0.006473214285714286,0.09073660714285711,30
S1_normal,R-risk-only,30,18.0,19.0,0.9687535218765869,0.8801587301587301,1.0,30,47.55980429727031,35.86269917445471,68.62938375384785,30,127.75688038022514,77.66733590803956,367.815582316399,29,217.14463467266015,88.211070484799,570.0693544264035,30,2.9686672078533203,1.263364154948325,8.95701033261047,30,0.9001756664768233,0.8129245425148725,0.9492128296754097,30,0.025612599206349205,0.0,0.057548363095238066,30
S1_normal,RD+WGPS,30,19.0,19.0,0.9929333955804545,0.9435457516339869,1.0,30,40.973366486965006,26.633512151835944,54.81322189641933,30,80.68949589505058,57.24200679107633,93.53694066495491,30,89.50144089988243,75.61760569962365,95.35497249422887,30,1.1546893933331897,0.8420856609262662,1.3818695958503544,30,0.870025207269552,0.8081459545391219,0.9215084427981796,30,0.0012524801587301586,0.0,0.012202380952380935,30
S2_kev_burst,CVSS-only,30,17.0,19.0,0.8827547910179487,0.7129605263157894,1.0,30,61.41456472547554,33.37889401157288,89.4623212410795,30,233.59326686049346,76.94771279820299,634.065552756708,21,522.8456328808046,129.584552308574,1104.9201543552954,30,8.526940944351594,1.6881528490031565,20.362047342839986,30,0.896585188605208,0.7501529710284007,0.9538356366294732,30,0.03381448412698413,0.0,0.07727306547619046,30
S2_kev_burst,FIFO,30,15.0,19.0,0.7847545884914305,0.6015873015873017,0.9444444444444444,30,179.1542757045827,48.41318530385511,347.618334052648,30,297.06000307510465,100.66495104543814,479.49115624123885,29,313.592848918631,114.52463689669469,483.15213858699997,30,5.528144641378955,1.4606534629782895,9.653412308278881,30,0.9083372029092583,0.8180560672433277,0.9640882476760881,30,0.045157076719576715,0.0,0.10182601686507933,30
S2_kev_burst,R-risk-only,30,19.0,19.0,0.9609287612971824,0.8373333333333334,1.0,30,49.72687903800875,31.085908138142702,88.89405807901305,30,126.47871647840756,64.1009407278212,247.2063088789451,30,209.22230129991252,75.61933964040117,512.1389237573791,30,2.9102335073966943,1.0163653281984122,7.410569291403401,30,0.9063773504502943,0.8421575339267643,0.9542602483885179,30,0.032066798941798945,0.006473214285714286,0.0691220238095238,30
S2_kev_burst,RD+WGPS,30,19.0,19.0,0.9853355611250348,0.8942857142857144,1.0,30,42.84451753344313,29.166761350076097,63.11560429740087,30,82.3019902970142,63.84402417201426,94.00766055419014,30,89.12930952231883,73.66511833483808,95.78002567520893,30,1.1913243026376028,0.8758621729556817,1.460256384643373,30,0.8758512623735694,0.7980071833642437,0.9340200364717606,30,0.0013888888888888887,0.0,0.016145833333333304,30
S3_lowcap_hetero,CVSS-only,30,5.5,19.0,0.30736670106639147,0.14541666666666667,0.5558928571428572,30,315.11939089219265,149.31975468435618,618.6177726128615,4,,,,0,1182.2684588874663,938.3179638314762,1330.2986112364374,30,22.829997496680832,17.281858185598168,27.109387425615672,30,0.8295340857536623,0.6950781371423485,0.9209626117886335,30,0.04736111111111111,0.0,0.13463541666666656,30
S3_lowcap_hetero,FIFO,30,4.0,19.0,0.23481628908873495,0.07631578947368421,0.44370915032679714,30,842.6733314498389,575.9519362329038,1101.1875725743453,11,1007.9605519008829,903.7462145428008,1122.8370490378336,4,983.1937850165036,774.6784212379525,1157.4454888572743,30,19.110192045076683,14.18427367229807,24.162843291546825,30,0.823246275361641,0.5947709370249313,0.9097237306802627,30,0.06076388888888889,0.0,0.1752604166666666,30
S3_lowcap_hetero,R-risk-only,30,8.0,19.0,0.4223209985748685,0.10250626566416039,0.6524509803921569,30,423.59353980936237,149.01776320877082,959.2905327535165,17,,,,0,1127.45849089746,797.3681170122109,1312.439094237578,30,21.17934832952267,13.87610166105944,26.91491907763557,30,0.837656687746893,0.725401652134485,0.9234851284834911,30,0.05986111111111111,0.0,0.21119791666666665,30
S3_lowcap_hetero,RD+WGPS,30,18.0,19.0,0.932531000704375,0.793888888888889,1.0,30,71.83741109857876,35.36558428974541,124.71418163925489,30,150.23690451186104,124.9960196717397,166.73696424640144,30,156.35254762687754,137.17652841818494,168.0701178294408,30,2.3997787043840186,1.8979525691716577,2.7975609387385574,30,0.8597091879324176,0.785975893294071,0.9182187056881674,30,0.020486111111111115,0.0,0.05322916666666666,30
